Team1,Team2,Winner,Margin,Ground,Match Date,T-20 Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total WCs participated,Team1 Total WCs won,Team2 Total WCs participated,Team2 Total WCs won,Team1 win % over Team2
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,2022/10/30,T20I # 1851,98.33,97.87,84.6,91.87,7,0,4,0,63.15
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,2022/10/29,T20I # 1850,69.6,80.77,69.87,86.54,7,0,7,1,52.63
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,2022/10/27,T20I # 1849,83.67,98.4,84.2,91.8,7,1,4,0,94.11
India,Netherlands,India,56 runs,Sydney,2022/10/27,T20I # 1848,78.27,96.81,71.73,96.25,7,1,4,0,0.0
Bangladesh,South Africa,South Africa,104 runs,Sydney,2022/10/27,T20I # 1847,98.2,66.86,85.33,70.57,7,0,7,0,0.0
England,Ireland,Ireland,5 runs,Melbourne,2022/10/26,T20I # 1846,80.8,94.13,72.33,98.27,7,1,6,0,0.0
Australia,Sri Lanka,Australia,7 wickets,Perth,2022/10/25,T20I # 1845,76.47,80.0,73.2,87.38,7,1,7,1,56.0
South Africa,Zimbabwe,no result,-,Hobart,2022/10/24,T20I # 1844,65.64,97.6,70.71,89.2,7,0,5,0,100.0
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,2022/10/24,T20I # 1843,98.07,96.44,85.73,96.38,7,0,4,0,66.66
India,Pakistan,India,4 wickets,Melbourne,2022/10/23,T20I # 1842,78.47,86.13,72.93,85.4,7,1,7,1,63.63
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,2022/10/23,T20I # 1841,94.47,80.31,97.93,87.85,6,0,7,1,0.0
Afghanistan,England,England,5 wickets,Perth,2022/10/22,T20I # 1840,88.47,81.73,83.67,73.13,5,0,7,1,0.0
Australia,New Zealand,New Zealand,89 runs,Sydney,2022/10/22,T20I # 1839,74.87,70.47,72.53,70.07,7,1,7,0,66.66
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,2022/10/21,T20I # 1838,92.87,97.67,94.0,89.73,4,0,5,0,28.57
Ireland,West Indies,Ireland,9 wickets,Hobart,2022/10/21,T20I # 1837,95.33,82.47,98.13,79.6,6,0,7,2,28.57
Namibia,UAE,UAE,7 runs,Geelong,2022/10/20,T20I # 1836,97.31,92.73,93.81,97.67,1,0,1,0,100.0
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,2022/10/20,T20I # 1835,96.56,81.23,96.5,88.08,4,0,7,1,0.0
West Indies,Zimbabwe,West Indies,31 runs,Hobart,2022/10/19,T20I # 1834,82.4,97.67,81.27,90.13,7,2,5,0,66.66
Ireland,Scotland,Ireland,6 wickets,Hobart,2022/10/19,T20I # 1833,95.2,92.87,98.2,93.73,6,0,4,0,53.84
Sri Lanka,UAE,Sri Lanka,79 runs,Geelong,2022/10/18,T20I # 1832,81.15,92.53,87.54,97.53,7,1,1,0,100.0
Namibia,Netherlands,Netherlands,5 wickets,Geelong,2022/10/18,T20I # 1830,97.19,97.5,94.0,96.88,1,0,4,0,0.0
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,2022/10/17,T20I # 1828,94.67,98.0,98.13,90.8,6,0,5,0,62.5
Scotland,West Indies,Scotland,42 runs,Hobart,2022/10/17,T20I # 1826,92.87,82.0,94.0,81.87,4,0,7,2,0.0
Netherlands,UAE,Netherlands,3 wickets,Geelong,2022/10/16,T20I # 1825,97.62,92.13,97.19,97.73,4,0,1,0,55.55
Namibia,Sri Lanka,Namibia,55 runs,Geelong,2022/10/16,T20I # 1823,97.69,80.85,95.25,86.92,1,0,7,1,0.0
India,South Africa,India,7 runs,Bridgetown,2024/06/29,T20I # 2729,75.67,76.67,70.67,75.93,8,1,8,0,53.84
England,India,India,68 runs,Providence,2024/06/27,T20I # 2724,76.0,75.27,73.27,70.73,8,2,8,1,47.82
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,2024/06/26,T20I # 2723,85.4,76.6,87.73,79.0,6,0,8,0,0.0
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,2024/06/24,T20I # 2722,85.07,93.0,87.33,79.53,6,0,8,0,54.54
Australia,India,India,24 runs,Gros Islet,2024/06/24,T20I # 2721,65.33,76.67,69.53,71.33,8,1,8,1,35.48
West Indies,South Africa,South Africa,3 wickets,North Sound,2024/06/23,T20I # 2720,73.93,77.0,82.33,79.27,8,2,8,0,50.0
England,USA,England,10 wickets,Bridgetown,2024/06/23,T20I # 2719,75.87,97.8,72.6,100.93,8,2,0,0,0.0
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,2024/06/22,T20I # 2717,85.87,64.93,87.67,69.33,6,0,8,1,0.0
Bangladesh,India,India,50 runs,North Sound,2024/06/22,T20I # 2716,92.53,79.07,80.27,71.93,8,0,8,1,7.6
West Indies,USA,West Indies,9 wickets,Bridgetown,2024/06/21,T20I # 2713,75.47,97.87,82.8,100.73,8,2,0,0,0.0
England,South Africa,South Africa,7 runs,Gros Islet,2024/06/21,T20I # 2712,76.4,77.33,72.73,80.13,8,2,8,0,48.0
Australia,Bangladesh,Australia,28 runs,North Sound,2024/06/20,T20I # 2711,64.2,92.67,70.07,78.4,8,1,8,0,60.0
Afghanistan,India,India,47 runs,Bridgetown,2024/06/20,T20I # 2710,85.47,79.47,87.0,73.67,6,0,8,1,0.0
West Indies,England,England,8 wickets,Gros Islet,2024/06/19,T20I # 2709,76.2,76.67,83.2,73.13,8,2,8,2,58.62
South Africa,USA,South Africa,18 runs,North Sound,2024/06/19,T20I # 2708,77.6,101.0,79.87,101.0,8,0,0,0,0.0
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,2024/06/17,T20I # 2703,77.53,84.87,84.47,86.33,8,2,6,0,57.14
New Zealand,PNG,New Zealand,7 wickets,Tarouba,2024/06/17,T20I # 2702,76.27,99.07,71.53,101.0,8,0,1,0,0.0
Netherlands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,2024/06/16,T20I # 2699,94.27,86.73,91.07,91.93,5,0,8,1,0.0
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,2024/06/16,T20I # 2698,91.73,98.93,80.13,100.47,8,0,1,0,100.0
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,2024/06/16,T20I # 2697,93.6,82.33,96.13,87.4,7,0,8,1,25.0
Australia,Scotland,Australia,5 wickets,Gros Islet,2024/06/15,T20I # 2689,64.07,94.8,69.27,95.07,8,1,5,0,0.0
England,Namibia,England,41 runs,North Sound,2024/06/15,T20I # 2688,77.13,99.19,72.53,99.94,8,2,2,0,0.0
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,2024/06/14,T20I # 2682,75.73,101.0,71.67,101.0,8,0,0,0,0.0
Nepal,South Africa,South Africa,1 run,Kingstown,2024/06/14,T20I # 2681,100.13,77.07,100.73,79.47,1,0,8,0,0.0
Afghanistan,PNG,Afghanistan,7 wickets,Tarouba,2024/06/13,T20I # 2679,84.53,98.87,86.47,101.0,6,0,1,0,100.0
England,Oman,England,8 wickets,North Sound,2024/06/13,T20I # 2678,77.0,101.0,72.2,101.0,8,2,2,0,0.0
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,2024/06/13,T20I # 2677,92.87,94.8,80.47,91.53,8,0,5,0,75.0
West Indies,New Zealand,West Indies,13 runs,Tarouba,2024/06/12,T20I # 2672,79.6,75.13,84.87,72.53,8,2,8,0,21.05
